j,t,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1040600803074,2011,0,0,1,0,1,1,0,0,1,1,1,0,1,0
1040600803117,2011,0,1,0,0,1,0,0,0,0,1,0,1,1,0
1040600803137,2011,0,1,2,0,0,1,1,0,0,0,0,0,1,0
1040600803155,2011,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1040600803183,2011,0,0,0,1,0,0,0,0,0,1,2,0,1,0
1040600803197,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1040600803207,2011,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1040800402002,2011,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1040800402020,2011,0,1,2,0,0,1,0,0,0,0,0,1,0,1
1040800402039,2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1040800402054,2011,0,0,2,1,0,0,0,0,1,0,0,0,1,1
1040800402055,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1040800402080,2011,0,1,0,0,0,1,0,0,1,1,1,0,1,0
1040800402098,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040800402116,2011,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1040800402135,2011,0,1,0,0,0,1,0,0,0,2,1,0,1,0
1040800402155,2011,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1040800402167,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1040800402173,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1050100105005,2011,0,0,0,0,3,1,0,0,2,0,0,2,0,0
1050100105031,2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1050100105037,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1050100105053,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050100105075,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1050100105077,2011,0,0,1,0,0,0,1,0,0,2,0,1,0,0
1050100105091,2011,0,0,1,1,0,0,1,0,0,0,0,4,0,1
1050100105110,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1050100105136,2011,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1050100105153,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1050100105174,2011,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1050100105200,2011,0,1,1,0,0,1,0,0,0,0,0,0,1,0
1050200201004,2011,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1050200201022,2011,0,1,0,1,1,0,0,0,0,1,0,0,1,0
1050200201027,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1050200201041,2011,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1050200201057,2011,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1050200201078,2011,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1050200201099,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1050200201120,2011,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1050200201142,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1050200201163,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1050200201184,2011,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1050200201205,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1050200712002,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1050200712020,2011,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1050200712035,2011,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1050200712040,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1050200712054,2011,0,0,0,0,0,1,0,0,1,1,1,1,0,0
1050200712064,2011,0,1,0,1,0,1,0,0,0,0,0,1,0,0
